,Number,Name,Parent (SMC),Parent name (SMC),Section,Region,Area,Island,Topo Section,County,Classification,Map 1:50k,Map 1:25k,Metres,Feet,Grid ref,Grid ref 10,Drop,Col grid ref,Col height,Feature,Observations,Survey,Climbed,Country,County Top,Revision,Comments,Streetmap,Geograph/MountainViews,Hill-bagging,Xcoord,Ycoord,Latitude,Longitude,GridrefXY,_Section,Parent (Ma),Parent name (Ma),MVNumber,Ma,Ma=,Hu,Hu=,Tu,Tu=,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,1=,0,W,WO,B,Sy,Fel,CoH,CoH=,CoU,CoU=,CoA,CoA=,CoL,CoL=,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,Dil,VL,A,MDew,sMDew,Ca,Bin,O,Un,coords
7308,7309,East Kip,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Midlothian,"5,DDew",65 66,344,534.0,1752,NT183608,NT 18303 60858,35.0,NT181607,499.0,no feature,,obvious summit,,S,,27-Nov-11,,"http://www.streetmap.co.uk/newmap.srf?x=318302&y=660863&z=3&sv=318302,660863&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.834052&lon=-3.30593,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=7309,318302,660863,55.834052,-3.3059300000000005,NT1830260863,28.1,1807,Scald Law,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (318301.9358011275 660862.8474891823)
7310,7311,Huntly Cot Hills,,,28A,28A: Firth of Forth to the River Tweed,Moorfoot Hills,,P03:Glasgow to Galashiels and North Berwick,Midlothian/Scottish Borders,s5,66 73,345W,531.0,1742,NT313508,NT 31386 50801,25.0,NT311504,506.0,no feature: ground by fence,,,,S,,02-Feb-13,,"http://www.streetmap.co.uk/newmap.srf?x=331385&y=650806&z=3&sv=331385,650806&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.745744&lon=-3.094559,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=7311,331385,650806,55.745743999999995,-3.094559,NT3138550806,28.1,1802,Blackhope Scar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (331385.1162320506 650805.5657219359)
7311,7312,Green Law,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Midlothian,"5,DDew",65 66 72,344,529.0,1736,NT167595,NT 16730 59521,70.0,NT174603,459.0,no feature: grass,,obvious summit,,S,,02-Feb-13,,"http://www.streetmap.co.uk/newmap.srf?x=316729&y=659526&z=3&sv=316729,659526&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.821773&lon=-3.330627,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=7312,316729,659526,55.821773,-3.330627,NT1672959526,28.1,1807,Scald Law,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (316728.8833567019 659525.8194830129)
7312,7313,Spittal Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Midlothian,"5,DDew",65 66 72,344,526.0,1726,NT164586,NT 16499 58660,32.0,NT166592,494.0,no feature,,,,S,,27-Nov-11,,"http://www.streetmap.co.uk/newmap.srf?x=316498&y=658665&z=3&sv=316498,658665&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.813999&lon=-3.334048,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=7313,316498,658665,55.813999,-3.334048,NT1649858665,28.1,1807,Scald Law,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (316497.8871125232 658664.8054014178)
7316,7317,Craigengar,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Scottish Borders/West Lothian,"5,DDew",65 72,344,519.0,1703,NT090550,NT 09016 55086,75.0,NT098556,444.0,stone shelter by fence junction,,,,S,,27-Nov-11,,"http://www.streetmap.co.uk/newmap.srf?x=309014&y=655091&z=3&sv=309014,655091&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.780543&lon=-3.452223,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=7317,309014,655091,55.78054300000001,-3.4522230000000005,NT0901455091,28.1,1809,East Cairn Hill,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (309014.7217550451 655090.6960645942)
7324,7325,Turnhouse Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Midlothian,"5,DDew",66,344,506.0,1660,NT212626,NT 21269 62659,79.0,NT207622,427.0,no feature 5m NE of cairn,,obvious summit,,S,,27-Nov-11,,"http://www.streetmap.co.uk/newmap.srf?x=321268&y=662664&z=3&sv=321268,662664&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.850723&lon=-3.259111,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=7325,321268,662664,55.850722999999995,-3.259111,NT2126862664,28.1,1807,Scald Law,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (321268.0006099103 662663.7971441619)
7327,7328,Harestone Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,s5,67,345E,504.0,1654,NT568623,NT 56818 62318,23.0,NT567619,481.0,cairn,,,,S,,27-Nov-11,,"http://www.streetmap.co.uk/newmap.srf?x=356818&y=662323&z=3&sv=356818,662323&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.852159&lon=-2.691308,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=7328,356818,662323,55.85215899999999,-2.6913080000000003,NT5681862323,28.1,1813,Meikle Says Law,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (356817.7070568564 662322.7053903071)
7332,7333,Cap Law,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Midlothian,s4,65 66 72,344,497.0,1631,NT175599,NT 17569 59932,20.0,NT167599,477.0,no feature,,,,S,,27-Nov-11,,"http://www.streetmap.co.uk/newmap.srf?x=317568&y=659937&z=3&sv=317568,659937&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.825609&lon=-3.317365,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=7333,317568,659937,55.825609,-3.317365,NT1756859937,28.1,1807,Scald Law,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (317567.8740499596 659936.8249123025)
7339,7340,Bransly Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,3,67,345E 351E,398.0,1306,NT676699,NT 67687 69901,44.0,NT685697,354.0,no feature 200m SE of trig point,,,,S,,14-Feb-14,Subhump status deleted February 2014,"http://www.streetmap.co.uk/newmap.srf?x=367687&y=669906&z=3&sv=367687,669906&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.921142&lon=-2.518614,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=7340,367687,669906,55.921142,-2.518614,NT6768769906,28.1,1819,Spartleton,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (367686.9976681433 669905.7771580208)
7344,7345,Deuchrie Dod,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,"2,sHu",67,351E,297.0,974,NT626722,NT 62693 72236,96.0,NT631714,201.0,trig point,,,,S,,27-Nov-11,,"http://www.streetmap.co.uk/newmap.srf?x=362693&y=672241&z=3&sv=362693,672241&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.941759&lon=-2.598844,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=7345,362693,672241,55.941759,-2.5988439999999997,NT6269372241,28.1,1819,Spartleton,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (362692.8596507335 672240.9076292014)
7346,7347,Skid Hill [Garleton Hills],,,28A,28A: Firth of Forth to the River Tweed,Moorfoot Hills,,P03:Glasgow to Galashiels and North Berwick,East Lothian,"1,sHu",66,351W,186.0,610,NT507764,NT 50729 76431,98.0,NT426719,88.0,ground 2m from trig point,,obvious summit,,S,,02-Feb-13,,"http://www.streetmap.co.uk/newmap.srf?x=350729&y=676436&z=3&sv=350729,676436&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.978367&lon=-2.791135,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=7347,350729,676436,55.978367000000006,-2.7911349999999997,NT5072976436,28.1,1802,Blackhope Scar,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (350728.6713772861 676435.979148607)
13763,13764,Castlelaw Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Midlothian,4,66,344,488.0,1601,NT224647,NT 22472 64778,81.0,NT225657,407.0,no feature: ground near pile of stones,,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=322471&y=664783&z=3&sv=322471,664783&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.869953&lon=-3.240508,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13764,322471,664783,55.869953,-3.240508,NT2247164783,28.1,1816,Allermuir Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (322470.9934299068 664782.8416359499)
13775,13776,Cock Rig,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Midlothian,4,65 72,344,479.0,1572,NT152593,NT 15244 59358,60.0,NT164602,419.0,no feature: ground just N of wall,,,,S,,14-Feb-15,,"http://www.streetmap.co.uk/newmap.srf?x=315243&y=659363&z=3&sv=315243,659363&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.82005&lon=-3.354287,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13776,315243,659363,55.82005,-3.3542870000000002,NT1524359363,28.1,1807,Scald Law,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (315242.832204747 659362.8172574142)
13779,13780,Caerketton Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Edinburgh/Midlothian,4,66,344 350,478.0,1568,NT235661,NT 23557 66173,65.0,NT232663,413.0,no feature,cairn on alternative summit 150m ENE is at NT 23698 66212,,,S,,20-Jan-12,alternative summit at NT237662,"http://www.streetmap.co.uk/newmap.srf?x=323556&y=666178&z=3&sv=323556,666178&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.882658&lon=-3.223567,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13780,323556,666178,55.882658,-3.2235669999999996,NT2355666178,28.1,1816,Allermuir Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (323556.057812447 666177.8923890251)
13780,13781,Patie's Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Midlothian,4,65 66 72,344,478.0,1568,NT162574,NT 16280 57417,35.0,NT161577,443.0,no feature,,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=316279&y=657422&z=3&sv=316279,657422&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.802795&lon=-3.337159,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13781,316279,657422,55.802794999999996,-3.3371589999999998,NT1627957422,28.1,1807,Scald Law,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (316278.8652763422 657421.7179706466)
13798,13799,Torfichen Hill,,,28A,28A: Firth of Forth to the River Tweed,Moorfoot Hills,,P03:Glasgow to Galashiels and North Berwick,Midlothian/Scottish Borders,4,66 73,345W,468.0,1535,NT335526,NT 33584 52687,32.0,NT331527,436.0,no feature,flat grassy summit area,Abney level,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=333583&y=652692&z=3&sv=333583,652692&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.762994&lon=-3.060011,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13799,333583,652692,55.76299399999999,-3.0600110000000003,NT3358352692,28.1,1802,Blackhope Scar,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (333583.2176820458 652691.5875348096)
13827,13828,Capelaw Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Edinburgh,4,66,344,454.0,1489,NT216659,NT 21617 65954,54.0,NT222660,400.0,stone,flat summit area,Abney level,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=321616&y=665959&z=3&sv=321616,665959&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.880379&lon=-3.254508,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13828,321616,665959,55.880379000000005,-3.254508,NT2161665959,28.1,1816,Allermuir Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (321616.0034832453 665958.9296003933)
13832,13833,Hare Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Midlothian,4,65 66,344,449.0,1473,NT171620,NT 17161 61996,45.0,NT167613,404.0,pile of stones,ground by cairn 120m SSW at NT 17121 61884 and ground by cairn 90m SW at NT 17105 61925 may be as high,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=317160&y=662001&z=3&sv=317160,662001&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.844079&lon=-3.324506,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13833,317160,662001,55.844079,-3.324506,NT1716062001,28.1,1807,Scald Law,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (317159.8632612199 662000.8246964501)
13838,13839,Killpallet Rig,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,4,67,345E,447.0,1467,NT622604,,30.0,NT604606,417.0,,,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=362200&y=660400&z=3&sv=362200,660400&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.835335&lon=-2.60508,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13839,362200,660400,55.835335,-2.60508,NT6220060400,28.1,1813,Meikle Says Law,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (362199.7321690517 660399.7046683768)
13844,13845,Mealowther,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,West Lothian,4,65 72,344,444.0,1457,NT079559,NT 07931 55955,35.0,NT082564,409.0,no feature,,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=307929&y=655960&z=3&sv=307929,655960&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.788143&lon=-3.46981,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13845,307929,655960,55.788143000000005,-3.46981,NT0792955960,28.1,1809,East Cairn Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (307929.6987086475 655959.7143058908)
13850,13851,Redstone Rig,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,4,67,345E,441.0,1447,NT607644,NT 60769 64439,54.0,NT599647,387.0,cairn,,,,S,,07-Mar-17,,"http://www.streetmap.co.uk/newmap.srf?x=360769&y=664444&z=3&sv=360769,664444&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.871553&lon=-2.628511,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13851,360769,664444,55.871553000000006,-2.628511,NT6076964444,28.1,1813,Meikle Says Law,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (360768.7834323455 664443.6818512371)
13866,13867,Wull Muir,,,28A,28A: Firth of Forth to the River Tweed,Moorfoot Hills,,P03:Glasgow to Galashiels and North Berwick,Midlothian/Scottish Borders,4,66 73,345W,433.0,1421,NT353544,NT 35311 54471,33.0,NT349541,400.0,rocks W of fence junction,,obvious summit,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=335310&y=654476&z=3&sv=335310,654476&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.779255&lon=-3.032917,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13867,335310,654476,55.779255000000006,-3.032917,NT3531054476,28.1,1802,Blackhope Scar,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (335310.2680180696 654475.5918825265)
13872,13873,Penshiel Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,4,67,345E,427.0,1401,NT631628,,61.0,NT622629,366.0,,,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=363100&y=662800&z=3&sv=363100,662800&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.856967&lon=-2.59104,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13873,363100,662800,55.856967000000004,-2.59104,NT6310062800,28.1,1813,Meikle Says Law,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (363099.6659876011 662799.6529591208)
13881,13882,Harbour Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Midlothian,4,66,344,421.0,1381,NT207653,NT 20733 65352,64.0,NT209657,357.0,no feature,,Abney level,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=320732&y=665357&z=3&sv=320732,665357&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.874826&lon=-3.268459,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13882,320732,665357,55.874826,-3.268459,NT2073265357,28.1,1816,Allermuir Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (320731.9466968881 665356.8590108064)
13905,13906,Bell's Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Midlothian,4,66,344,406.0,1332,NT205643,NT 20517 64346,57.0,NT203650,349.0,stone,,Abney level,,S,,30-Jan-15,,"http://www.streetmap.co.uk/newmap.srf?x=320516&y=664351&z=3&sv=320516,664351&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.865754&lon=-3.271614,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13906,320516,664351,55.865754,-3.271614,NT2051664351,28.1,1816,Allermuir Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (320515.9981013185 664350.8767765409)
13913,13914,Rangely Kip,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,4,67,345E,400.0,1312,NT606671,NT 60608 67105,42.0,NT606665,358.0,trig point,,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=360608&y=667110&z=3&sv=360608,667110&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.895493&lon=-2.631472,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13914,360608,667110,55.895493,-2.631472,NT6060867110,28.1,1813,Meikle Says Law,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (360607.8214985523 667109.7948286311)
13915,13916,Clints Dod,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,3,67,345E 351E,399.0,1309,NT624687,NT 62441 68698,49.0,NT639668,350.0,cairn,flat summit area,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=362441&y=668703&z=3&sv=362441,668703&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.909952&lon=-2.602385,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13916,362441,668703,55.909952000000004,-2.602385,NT6244168703,28.1,1819,Spartleton,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (362440.8382234406 668702.8067099433)
